

////////////////   Mythic III //

// Mythic II - Rabbit 1
7000,	49,	11,	7001,	14,	20
7000,	50,	11,	7001,	14,	20
7001,	14,	19,	7000,	50,	12

// Rabbit 1 - Rabbit 2
7001,	11,	7,	7002,	6,	5
7001,	11,	6,	7002,	7,	5
7002,	6,	4,	7001,	12,	7
7002,	7,	4,	7001,	11,	5
7002,	8,	4,	7001,	11,	5

// Rabbit 2 - Rabbit 3
7002,	10,	12,	7003,	16,	13
7002,	11,	12,	7003,	17,	13
7002,	12,	12,	7003,	18,	13
7003,	16,	12,	7002,	10,	13
7003,	17,	12,	7002,	11,	13
7003,	18,	12,	7002,	12,	13

// Rabbit 3 - Rabbit 4
7003,	16,	6,	7004,	9,	58
7003,	17,	6,	7004,	9,	58
7004,	9,	59,	7003,	17,	5

// Rabbit 4 - Rabbit 5
7004,	8,	6,	7005,	23,	37
7004,	9,	6,	7005,	24,	37
7004,	10,	6,	7005,	24,	37
7005,	23,	38,	7004,	8,	7
7005,	24,	38,	7004,	9,	7

// Rabbit 5 - Rabbit 6
7005,	7,	6,	7006,	5,	6
7006,	5,	7,	7005,	6,	6

// Rabbit 6 - Rabbit 7
7006,	5,	29,	7007,	12,	6
7006,	6,	29,	7007,	12,	6
7007,	11,	5,	7006,	6,	28
7007,	12,	5,	7006,	5,	28
7007,	13,	5,	7006,	5,	28

// Rabbit 7 - Rabbit 8
7007,	12,	19,	7008,	17,	37
7007,	13,	19,	7008,	17,	37
7008,	17,	36,	7007,	12,	18
7008,	16,	36,	7007,	12,	18
7008,	18,	36,	7007,	12,	18

// Rabbit 8 - Rabbit 99 - 1

////////////////////////////////////

